,rank,country,participant,result,discipline,event,olympic_host,olympic_game_year,gender
0,0,,,41.0,Athletics,4x100m relay,Amsterdam,1928,men
1,1,,,41.2,Athletics,4x100m relay,Amsterdam,1928,men
2,2,,,41.8,Athletics,4x100m relay,Amsterdam,1928,men
3,0,,,48.4,Athletics,4x100m relay,Amsterdam,1928,women
4,1,,,48.8,Athletics,4x100m relay,Amsterdam,1928,women
5,2,,,49.0,Athletics,4x100m relay,Amsterdam,1928,women
6,0,,,42.2,Athletics,4x100m relay,Antwerp,1920,men
7,1,,,42.6,Athletics,4x100m relay,Antwerp,1920,men
8,2,,,42.8,Athletics,4x100m relay,Antwerp,1920,men
9,0,,,38.07,Athletics,4x100m relay,Athens,2004,men
10,1,,,38.08,Athletics,4x100m relay,Athens,2004,men
11,2,,,38.23,Athletics,4x100m relay,Athens,2004,men
12,0,,,41.73,Athletics,4x100m relay,Athens,2004,women
13,1,,,42.27,Athletics,4x100m relay,Athens,2004,women
14,2,,,42.54,Athletics,4x100m relay,Athens,2004,women
15,0,,,37.69,Athletics,4x100m relay,Atlanta,1996,men
16,1,,,38.05,Athletics,4x100m relay,Atlanta,1996,men
17,2,,,38.41,Athletics,4x100m relay,Atlanta,1996,men
18,0,,,41.95,Athletics,4x100m relay,Atlanta,1996,women
19,1,,,42.14,Athletics,4x100m relay,Atlanta,1996,women
20,2,,,42.24,Athletics,4x100m relay,Atlanta,1996,women
21,0,,,37.4,Athletics,4x100m relay,Barcelona,1992,men
22,1,,,37.98,Athletics,4x100m relay,Barcelona,1992,men
23,2,,,38.0,Athletics,4x100m relay,Barcelona,1992,men
24,0,,,42.11,Athletics,4x100m relay,Barcelona,1992,women
25,1,,,42.16,Athletics,4x100m relay,Barcelona,1992,women
26,2,,,42.81,Athletics,4x100m relay,Barcelona,1992,women
27,0,,,38.06,Athletics,4x100m relay,Beijing,2008,men
28,1,,,38.15,Athletics,4x100m relay,Beijing,2008,men
29,2,,,38.24,Athletics,4x100m relay,Beijing,2008,men
30,0,,,42.54,Athletics,4x100m relay,Beijing,2008,women
31,1,,,43.04,Athletics,4x100m relay,Beijing,2008,women
32,2,,,43.14,Athletics,4x100m relay,Beijing,2008,women
33,0,,,39.8,Athletics,4x100m relay,Berlin,1936,men
34,1,,,41.1,Athletics,4x100m relay,Berlin,1936,men
35,2,,,41.2,Athletics,4x100m relay,Berlin,1936,men
36,0,,,46.9,Athletics,4x100m relay,Berlin,1936,women
37,1,,,47.6,Athletics,4x100m relay,Berlin,1936,women
38,2,,,47.8,Athletics,4x100m relay,Berlin,1936,women
39,0,,,40.1,Athletics,4x100m relay,Helsinki,1952,men
40,1,,,40.3,Athletics,4x100m relay,Helsinki,1952,men
41,2,,,40.5,Athletics,4x100m relay,Helsinki,1952,men
42,0,,,45.9,Athletics,4x100m relay,Helsinki,1952,women
43,1,,,45.9,Athletics,4x100m relay,Helsinki,1952,women
44,2,,,46.2,Athletics,4x100m relay,Helsinki,1952,women
45,0,,,40.6,Athletics,4x100m relay,London,1948,men
46,1,,,41.3,Athletics,4x100m relay,London,1948,men
47,2,,,41.5,Athletics,4x100m relay,London,1948,men
48,0,,,47.5,Athletics,4x100m relay,London,1948,women
49,1,,,47.6,Athletics,4x100m relay,London,1948,women
50,2,,,47.8,Athletics,4x100m relay,London,1948,women
51,0,,,36.84,Athletics,4x100m relay,London,2012,men
52,1,,,38.12,Athletics,4x100m relay,London,2012,men
53,2,,,38.16,Athletics,4x100m relay,London,2012,men
54,0,,,40.82,Athletics,4x100m relay,London,2012,women
55,1,,,41.41,Athletics,4x100m relay,London,2012,women
56,2,,,42.04,Athletics,4x100m relay,London,2012,women
57,0,,,40.0,Athletics,4x100m relay,Los Angeles,1984,men
58,1,,,40.9,Athletics,4x100m relay,Los Angeles,1984,men
59,2,,,41.2,Athletics,4x100m relay,Los Angeles,1984,men
60,0,,,47.0,Athletics,4x100m relay,Los Angeles,1984,women
61,1,,,47.0,Athletics,4x100m relay,Los Angeles,1984,women
62,2,,,47.6,Athletics,4x100m relay,Los Angeles,1984,women
63,0,,,37.83,Athletics,4x100m relay,Los Angeles,1984,men
64,1,,,38.62,Athletics,4x100m relay,Los Angeles,1984,men
65,2,,,38.7,Athletics,4x100m relay,Los Angeles,1984,men
66,0,,,41.65,Athletics,4x100m relay,Los Angeles,1984,women
67,1,,,42.77,Athletics,4x100m relay,Los Angeles,1984,women
68,2,,,43.11,Athletics,4x100m relay,Los Angeles,1984,women
69,0,,,39.5,Athletics,4x100m relay,Melbourne,1956,men
70,1,,,39.8,Athletics,4x100m relay,Melbourne,1956,men
71,2,,,40.3,Athletics,4x100m relay,Melbourne,1956,men
72,0,,,44.5,Athletics,4x100m relay,Melbourne,1956,women
73,1,,,44.7,Athletics,4x100m relay,Melbourne,1956,women
74,2,,,44.9,Athletics,4x100m relay,Melbourne,1956,women
75,0,,,38.2,Athletics,4x100m relay,Mexico City,1968,men
76,1,,,38.3,Athletics,4x100m relay,Mexico City,1968,men
77,2,,,38.4,Athletics,4x100m relay,Mexico City,1968,men
78,0,,,42.8,Athletics,4x100m relay,Mexico City,1968,women
79,1,,,43.3,Athletics,4x100m relay,Mexico City,1968,women
80,2,,,43.4,Athletics,4x100m relay,Mexico City,1968,women
81,0,,,38.33,Athletics,4x100m relay,Montreal,1976,men
82,1,,,38.66,Athletics,4x100m relay,Montreal,1976,men
83,2,,,38.78,Athletics,4x100m relay,Montreal,1976,men
84,0,,,42.55,Athletics,4x100m relay,Montreal,1976,women
85,1,,,42.59,Athletics,4x100m relay,Montreal,1976,women
86,2,,,43.09,Athletics,4x100m relay,Montreal,1976,women
87,0,,,38.26,Athletics,4x100m relay,Moscow,1980,men
88,1,,,38.33,Athletics,4x100m relay,Moscow,1980,men
89,2,,,38.53,Athletics,4x100m relay,Moscow,1980,men
90,0,,,41.6,Athletics,4x100m relay,Moscow,1980,women
91,1,,,42.1,Athletics,4x100m relay,Moscow,1980,women
92,2,,,42.43,Athletics,4x100m relay,Moscow,1980,women
93,0,,,38.19,Athletics,4x100m relay,Munich,1972,men
94,1,,,38.5,Athletics,4x100m relay,Munich,1972,men
95,2,,,38.79,Athletics,4x100m relay,Munich,1972,men
96,0,,,42.81,Athletics,4x100m relay,Munich,1972,women
97,1,,,42.95,Athletics,4x100m relay,Munich,1972,women
98,2,,,43.36,Athletics,4x100m relay,Munich,1972,women
99,0,,,41.0,Athletics,4x100m relay,Paris,1924,men
100,1,,,41.2,Athletics,4x100m relay,Paris,1924,men
101,2,,,41.8,Athletics,4x100m relay,Paris,1924,men
102,0,,,37.27,Athletics,4x100m relay,Rio,2016,men
103,1,,,37.6,Athletics,4x100m relay,Rio,2016,men
104,2,,,37.64,Athletics,4x100m relay,Rio,2016,men
105,0,,,41.01,Athletics,4x100m relay,Rio,2016,women
106,1,,,41.36,Athletics,4x100m relay,Rio,2016,women
107,2,,,41.77,Athletics,4x100m relay,Rio,2016,women
108,0,,,39.5,Athletics,4x100m relay,Rome,1960,men
109,1,,,40.1,Athletics,4x100m relay,Rome,1960,men
110,2,,,40.2,Athletics,4x100m relay,Rome,1960,men
111,0,,,44.5,Athletics,4x100m relay,Rome,1960,women
112,1,,,44.8,Athletics,4x100m relay,Rome,1960,women
113,2,,,45.0,Athletics,4x100m relay,Rome,1960,women
114,0,,,38.19,Athletics,4x100m relay,Seoul,1988,men
115,1,,,38.28,Athletics,4x100m relay,Seoul,1988,men
116,2,,,38.4,Athletics,4x100m relay,Seoul,1988,men
117,0,,,41.98,Athletics,4x100m relay,Seoul,1988,women
